NAME,MOVIE__C,MOVIE__R.NAME,PERSON__C,PERSON__R.NAME
Andy Dufresne,,The Shawshank Redemption,,Tim Robbins
Ellis Boyd 'Red' Redding,,The Shawshank Redemption,,Morgan Freeman
Warden Norton,,The Shawshank Redemption,,Bob Gunton
Don Vito Corleone,,The Godfather,,Marlon Brando
Kay Adams,,The Godfather,,Diane Keaton
Sonny Corleone,,The Godfather,,James Caan
Tom Hagen,,The Godfather,,Robert Duvall
Jim Gordon,,Batman Begins,,Gary Oldman
Rachel,,The Dark Knight,,Maggie Gyllenhaal
Alfred,,The Dark Knight,,Michael Caine
Lucius Fox,,Batman Begins,,Morgan Freeman
Joker,,The Dark Knight,,Heath Ledger
Bruce Wayne / Batman,,Batman Begins,,Christian Bale
Ducard,,Batman Begins,,Liam Neeson
Bruce Wayne,,The Dark Knight,,Christian Bale
Lucius Fox,,The Dark Knight,,Morgan Freeman
Alfred,,Batman Begins,,Michael Caine
Rachel Dawes,,Batman Begins,,Katie Holmes
Oskar Schindler,,Schindler's List,,Liam Neeson
Itzhak Stern,,Schindler's List,,Ben Kingsley
Amon Goeth,,Schindler's List,,Ralph Fiennes
Michael Corleone,,The Godfather,,Al Pacino
